item_id,titulo,menor_preco,ultima_data
MLB48955624,Mini Projetor Davely Hy300 4k Android Com Wi-fi E Bluetooth Branco 127/220v,17.19,2026-06-18 10:20
MLB110345645894,Tenis Mizuno Jet 8 Masculino,240.94,2026-06-18 10:20
MLB41975964,Console Playstation 5 Pro 2tb Branco Sony Bivolt Branco,6599.0,2026-06-18 10:20
MLB779362,"Sofá Veneza 2,40m Retrátil Reclinável Grafite Usb Porta Copo Grafite",36.5,2026-06-18 10:20
MLB19542141,Café Em Grao Torrado Expresso Arábica Torra Escura Grãos 1kg Gourmet Cafe Italle,62.0,2026-06-18 10:20
MLB34801962,Impressora Multifuncional Hp Smart Tank 584 - Preta Preto 127/220v,716.4,2026-06-18 10:20
MLB85461139997,Tênis Reserva Roma Masculino Casual Cano Baixo Elegante,255.99,2026-06-18 10:20
MLB68838381,Balança Bioimpedancia Digital 180kg Smart Imc Profissional Rishon Com Aplicativo Preto,28.87,2026-06-18 10:20
MLB24438946,Bola Volei 8.0 Pró Penalty Quadra Selo Fivb Amarelo Amarelo/roxo,284.99,2026-06-18 10:20
MLB58582424,Testo Essencial - Fórmula Exclusiva Com Feno Grego + Boro + Arginina + Zma + Vitamina B6 - Precursor Da Testosterona - 60 Cápsulas Sem Sabor,57.77,2026-06-18 10:20
MLB27174916,Fone De Ouvido Sem Fio Bluetooth F9-5 Pares Som Imersivo Powerbank Moderno Bateria Longa Duração Academia Compativel Com Todos Celulares Preto,24.79,2026-06-18 10:20
MLB22805343,"Escada Articulada 4x4 Em Alumínio 16 Degraus 4,48m - Reisam",533.5,2026-06-18 10:20
MLB55898949,Pistola De Pintura E Pulverizadora Elétrica Portátil Hvlp 1.250l C/5 Bicos E Acessórios 600w Tpp150 The Black Tools Amarelo 220v,192.9,2026-06-18 10:20
MLB100882551263,Mini Compressor Ar Calibrador Encher Pneu Portátil Digital,109.03,2026-06-18 10:20
MLB86033825762,Tênis Vizzano Feminino Off White Leve Academia 1440.107,158.27,2026-06-18 10:20
MLB65131882,Balança Digital De Precisão 10kg Davely Cook Cozinha Para Uso Domestico E Profissional Fitness Ideal Para Dietas Treinos Alimentos Confeitaria Nutrição Branco 10 Kg,19.3,2026-06-18 10:20
MLB65530475,Lanterna Mais Forte Do Mundo Recarregável Tática Potente Led Apfer,45.82,2026-06-18 10:20
MLB93955563541,Tênis Corrida adidas Boost Run Original Feminino,306.99,2026-06-18 10:20
MLB58579835,Nac 600mg - Fórmula Exclusiva Com Máxima Concentração E Pureza - N-acetil L-cisteína - 60 Cápsulas Sem Sabor,46.77,2026-06-18 10:20
MLB39156440,"Tapete 2,00x1,50 Peludo Felpudo Para Sala E Quarto Cores Cor Bege-mesclado Desenho Do Tecido Pelo Alto Casa Laura... 2 M 1.5 M",10.0,2026-06-18 10:20
MLB113308850529,Vestido Quadrilha Xadrez Feminino Ombro A Ombro Festa Junina,138.9,2026-06-18 10:20
